time,instrument,granularity,side,price,position_size,equity,drawdown
2025-12-11 13:45:00+00:00,EUR_USD,M15,FLAT,1.17311,0.0,100160.48,0.000196
2025-12-11 14:45:00+00:00,EUR_USD,M15,BUY,1.17376,2504.01,100160.48,0.000196
2025-12-11 15:15:00+00:00,EUR_USD,M15,FLAT,1.17488,0.0,100162.87,0.000172
2025-12-11 16:15:00+00:00,EUR_USD,M15,BUY,1.17468,2504.07,100162.87,0.000172
2025-12-12 10:45:00+00:00,EUR_USD,M15,FLAT,1.17274,0.0,100158.74,0.000214
2025-12-14 23:30:00+00:00,EUR_USD,M15,BUY,1.17395,2503.97,100158.74,0.000214
2025-12-15 12:15:00+00:00,EUR_USD,M15,FLAT,1.17546,0.0,100161.96,0.000181
2025-12-15 12:45:00+00:00,EUR_USD,M15,BUY,1.17528,2504.05,100161.96,0.000181
2025-12-15 13:00:00+00:00,EUR_USD,M15,FLAT,1.17559,0.0,100162.62,0.000175
2025-12-15 13:15:00+00:00,EUR_USD,M15,BUY,1.1755,2504.07,100162.62,0.000175
2025-12-15 13:30:00+00:00,EUR_USD,M15,FLAT,1.17562,0.0,100162.88,0.000172
2025-12-15 13:45:00+00:00,EUR_USD,M15,BUY,1.17474,2504.07,100162.88,0.000172
2025-12-15 18:15:00+00:00,EUR_USD,M15,FLAT,1.17408,0.0,100161.47,0.000186
2025-12-15 18:30:00+00:00,EUR_USD,M15,BUY,1.17423,2504.04,100161.47,0.000186
2025-12-15 19:00:00+00:00,EUR_USD,M15,FLAT,1.17396,0.0,100160.9,0.000192
2025-12-15 19:30:00+00:00,EUR_USD,M15,BUY,1.17452,2504.02,100160.9,0.000192
2025-12-16 12:45:00+00:00,EUR_USD,M15,FLAT,1.17778,0.0,100167.84,0.000123
2025-12-16 13:00:00+00:00,EUR_USD,M15,BUY,1.17738,2504.2,100167.84,0.000123
2025-12-16 18:15:00+00:00,EUR_USD,M15,FLAT,1.17461,0.0,100161.95,0.000181
2025-12-16 18:30:00+00:00,EUR_USD,M15,BUY,1.17526,2504.05,100161.95,0.000181
2025-12-17 02:45:00+00:00,EUR_USD,M15,FLAT,1.174,0.0,100159.27,0.000208
2025-12-17 21:45:00+00:00,EUR_USD,M15,BUY,1.17401,2503.98,100159.27,0.000208
2025-12-18 09:15:00+00:00,EUR_USD,M15,FLAT,1.17194,0.0,100154.86,0.000252
2025-12-18 10:30:00+00:00,EUR_USD,M15,BUY,1.17255,2503.87,100154.86,0.000252
2025-12-18 11:15:00+00:00,EUR_USD,M15,FLAT,1.17254,0.0,100154.83,0.000252
2025-12-22 01:00:00+00:00,EUR_USD,M15,BUY,1.17169,2503.87,100154.83,0.000252
2025-12-22 03:30:00+00:00,EUR_USD,M15,FLAT,1.17166,0.0,100154.77,0.000253
2025-12-22 04:00:00+00:00,EUR_USD,M15,BUY,1.1718,2503.87,100154.77,0.000253
2025-12-22 14:30:00+00:00,EUR_USD,M15,FLAT,1.17642,0.0,100164.63,0.000155
2025-12-22 14:45:00+00:00,EUR_USD,M15,BUY,1.17602,2504.12,100164.63,0.000155
2025-12-23 00:15:00+00:00,EUR_USD,M15,FLAT,1.1768,0.0,100166.29,0.000138
2025-12-23 00:30:00+00:00,EUR_USD,M15,BUY,1.17686,2504.16,100166.29,0.000138
2025-12-23 02:00:00+00:00,EUR_USD,M15,FLAT,1.17768,0.0,100168.03,0.000121
2025-12-23 02:15:00+00:00,EUR_USD,M15,BUY,1.17746,2504.2,100168.03,0.000121
2025-12-23 10:15:00+00:00,EUR_USD,M15,FLAT,1.1797,0.0,100172.8,7.3e-05
2025-12-23 11:00:00+00:00,EUR_USD,M15,BUY,1.17978,2504.32,100172.8,7.3e-05
2025-12-23 14:15:00+00:00,EUR_USD,M15,FLAT,1.17734,0.0,100167.61,0.000125
2025-12-23 14:30:00+00:00,EUR_USD,M15,BUY,1.17754,2504.19,100167.61,0.000125
2025-12-23 14:45:00+00:00,EUR_USD,M15,FLAT,1.17694,0.0,100166.34,0.000138
2025-12-23 15:00:00+00:00,EUR_USD,M15,BUY,1.17782,2504.16,100166.34,0.000138
2025-12-23 19:00:00+00:00,EUR_USD,M15,FLAT,1.17881,0.0,100168.44,0.000117
2025-12-23 19:15:00+00:00,EUR_USD,M15,BUY,1.17857,2504.21,100168.44,0.000117
2025-12-23 20:30:00+00:00,EUR_USD,M15,FLAT,1.1792,0.0,100169.78,0.000103
2025-12-23 20:45:00+00:00,EUR_USD,M15,BUY,1.17896,2504.24,100169.78,0.000103
2025-12-23 21:15:00+00:00,EUR_USD,M15,FLAT,1.17906,0.0,100169.99,0.000101
2025-12-23 21:45:00+00:00,EUR_USD,M15,BUY,1.17934,2504.25,100169.99,0.000101
2025-12-24 17:15:00+00:00,EUR_USD,M15,FLAT,1.17813,0.0,100167.43,0.000127
2025-12-30 05:30:00+00:00,EUR_USD,M15,BUY,1.17744,2504.19,100167.43,0.000127
2025-12-30 14:00:00+00:00,EUR_USD,M15,FLAT,1.17576,0.0,100163.86,0.000162
2025-12-30 14:15:00+00:00,EUR_USD,M15,BUY,1.17602,2504.1,100163.86,0.000162
2025-12-30 17:00:00+00:00,EUR_USD,M15,FLAT,1.17608,0.0,100163.99,0.000161
2025-12-31 21:45:00+00:00,EUR_USD,M15,BUY,1.17459,2504.1,100163.99,0.000161
2026-01-02 01:15:00+00:00,EUR_USD,M15,FLAT,1.17604,0.0,100167.08,0.00013
2026-01-02 01:30:00+00:00,EUR_USD,M15,BUY,1.17603,2504.18,100167.08,0.00013
2026-01-02 02:00:00+00:00,EUR_USD,M15,FLAT,1.17634,0.0,100167.74,0.000124
